Total Population,Female Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Year,Country,Male Population
698952844.0,336773405.0,36.167,13.29,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,186325345089.754,6.57549356989853,437107236.975471,61594472500.7475,141.707700097719,48.43532067827557,39.3833507196107,1980,India,362179439.0
682995354.0,329097304.0,36.401,13.577,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,152991653792.864,-5.18721376802382,189440839.978208,47857257182.8996,135.741772556772,48.43532067827557,38.7025816069271,1979,India,353898050.0
667499806.0,321629370.0,36.643,13.892,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,137300295308.038,2.17919916986685,-190100168.165533,45528830485.1917,135.91764249891,48.43532067827557,37.2177019408411,1978,India,345870436.0
652408776.0,314349666.0,36.909,14.233,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,121487322474.298,5.27734754955308,-272116788.321168,42457056541.9936,126.256732021643,48.43532067827557,38.2239786590275,1977,India,338059110.0
637630087.0,307224285.0,37.205,14.601,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,102717164465.894,4.70090892441497,-260675967.465849,34351671820.6672,124.123691170803,48.43532067827557,37.8503354821663,1976,India,330405802.0
623102897.0,300231624.0,37.528,14.994,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,98472796457.114,2.47713488308297,-294681859.153628,34730864275.353,114.558928137996,48.43532067827557,36.9354603977898,1975,India,322871273.0
608802600.0,293362998.0,37.866,15.408,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,99525899115.7756,-6.45657319233544,-364862831.636491,38018588193.949,103.992657061583,48.43532067827557,36.4674567926255,1974,India,315439602.0
594770134.0,286636580.0,38.202,15.838,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,85515269585.5221,1.73375459501493,-413328246.216457,35199833920.0471,100.632154471966,48.43532067827557,35.3195829946338,1973,India,308133554.0
581087256.0,280088829.0,38.521,16.28,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,71463193830.4064,-0.958764319509044,-390655317.827853,27168678557.165,100.305073632522,48.43532067827557,35.2263346566754,1972,India,300998427.0
567868018.0,273769665.0,38.822,16.73,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,67350988020.9041,-0.961036040733831,-391044936.57278,25660577256.7808,97.7727187305695,48.43532067827557,35.1197934323141,1971,India,294098353.0
555189792.0,267712745.0,39.108,17.187,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,62422483054.5173,3.4704257093818938,-378666666.666667,24923928060.2093,335.1823706956946,48.43532067827557,54.656074326897325,1970,India,287477047.0
543084336.0,261932711.0,39.388,17.65,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,58447995016.8493,3.4704257093818938,-361333333.333333,24173122434.1733,335.1823706956946,48.43532067827557,54.656074326897325,1969,India,281151625.0
531513824.0,256412983.0,39.672,18.122,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,53085455870.8227,3.4704257093818938,-340000000.0,22101360152.0907,335.1823706956946,48.43532067827557,54.656074326897325,1968,India,275100841.0
520400576.0,251117415.0,39.968,18.603,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,50134942203.4467,3.4704257093818938,-344000000.0,21441522443.2027,335.1823706956946,48.43532067827557,54.656074326897325,1967,India,269283161.0
509631500.0,245993499.0,40.274,19.093,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,45865462033.91,3.4704257093818938,-328571428.571429,18357856479.1243,335.1823706956946,48.43532067827557,54.656074326897325,1966,India,263638001.0
499123324.0,241002417.0,40.587,19.591,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,59554854574.7942,3.4704257093818938,-344393112.137757,23197892400.7476,335.1823706956946,48.43532067827557,54.656074326897325,1965,India,258120907.0
488848135.0,236130819.0,40.898,20.096,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,56480289940.8261,3.4704257093818938,-304500304.500305,23262954030.3429,335.1823706956946,48.43532067827557,54.656074326897325,1964,India,252717316.0
478825608.0,231387197.0,41.2,20.608,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,48421923458.7413,3.4704257093818938,-235200235.200235,19039379881.7027,335.1823706956946,48.43532067827557,54.656074326897325,1963,India,247438411.0
469077190.0,226780736.0,41.484,21.126,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,42161481858.7014,3.4704257093818938,-226800226.800227,16177923530.6432,335.1823706956946,48.43532067827557,54.656074326897325,1962,India,242296454.0
459642165.0,222328744.0,41.749,21.652,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,39232435784.0946,3.4704257093818938,-205800205.800206,15844961402.3457,335.1823706956946,48.43532067827557,54.656074326897325,1961,India,237313421.0
450547679.0,218042938.0,41.995,22.184,8.0,19.472892727170677,54.834535462515696,68.90724972316198,14.68917850085667,2.6795357210295547,37029883875.4573,3.4704257093818938,-151200151.200151,15298096331.0212,335.1823706956946,48.43532067827557,54.656074326897325,1960,India,232504741.0
